Date,Open,High,Low,Close,Volume
2022-05-23,60.39956,60.73941,59.41093,59.50361,1161818
2022-05-24,59.47273,60.09063,59.24102,59.43411,489413
2022-05-25,59.27963,59.31052,57.73488,58.05928,3937019
2022-05-26,58.37595,58.70034,57.54951,58.07472,4567957
2022-05-27,59.07881,60.53088,59.07881,59.48817,4250275
2022-05-30,61.40365,63.10286,60.53859,61.79756,8486888
2022-05-31,62.79394,63.72078,61.98294,62.62401,6257934
2022-06-01,62.21464,62.94839,61.32641,61.51178,1483402
2022-06-02,61.63537,61.94431,59.43410,60.17558,3754097
2022-06-03,60.24509,60.43818,58.77758,59.28735,1294683
2022-06-06,59.47272,60.70851,59.09426,60.20647,1271660
2022-06-07,60.51543,60.94796,60.24510,60.56950,687770
2022-06-08,60.59266,60.86299,59.86663,60.54632,1095509
2022-06-09,60.47682,62.17604,60.43820,61.00975,1742559
2022-06-10,61.13332,62.56221,60.47681,62.26871,1746967
2022-06-13,62.40775,62.40775,59.62720,59.85892,2113031
2022-06-14,59.85891,61.00974,59.78167,60.77803,1856137
2022-06-15,60.77031,62.33050,60.63128,61.87480,3089634
2022-06-16,62.02154,63.72076,61.59674,62.90977,4484707
2022-06-17,63.02564,65.34276,63.02564,63.73622,5536222
2022-06-20,64.10697,64.29234,62.90979,63.09516,1385672
2022-06-21,63.60493,64.48543,62.67808,64.16876,3035631
2022-06-22,64.87934,65.18056,63.68216,64.08379,2041969
2022-06-23,64.03746,64.91796,63.72078,64.09152,2674158
2022-06-24,64.18420,64.18420,59.28736,61.32642,6788080
2022-06-27,61.48089,62.17602,60.59266,61.00202,2192878
2022-06-28,61.69715,61.69715,60.28371,60.59266,1868558
2022-06-29,61.01747,61.17194,59.78167,59.91298,2256249
2022-06-30,59.91297,61.69715,59.55768,60.76258,4790126
2022-07-01,60.76257,61.01745,60.09061,60.28370,1139618
2022-07-04,60.05200,60.63128,59.85891,59.93614,468516
2022-07-05,59.93614,60.20647,59.47272,59.50361,786372
2022-07-06,59.70443,59.93614,59.48044,59.76622,312691
2022-07-07,59.60404,63.14151,59.48046,62.14515,5795311
2022-07-08,62.14515,62.14515,62.14515,62.14515,0
2022-07-11,62.14515,62.14515,62.14515,62.14515,0
2022-07-12,62.14515,62.14515,62.14515,62.14515,0
2022-07-13,61.78985,65.49724,61.78985,64.59356,9979259
2022-07-14,65.65171,65.65171,64.65535,64.94113,4360091
2022-07-15,64.94884,64.94884,63.76711,63.88297,1668315
2022-07-18,63.21873,63.21873,62.17603,62.50815,1649733
2022-07-19,62.55449,63.10288,59.93615,60.49226,3402840
2022-07-20,60.54633,62.33051,59.89754,61.91344,3546551
2022-07-21,61.71259,62.10651,60.25281,60.83981,2175720
2022-07-22,61.75122,62.14513,60.51542,61.86707,2619804
2022-07-25,61.40366,61.78984,60.82438,61.34959,809586
2022-07-26,60.75486,62.40773,60.75486,61.79756,2725853
2022-07-27,62.09878,62.52358,61.32641,61.92113,1988791
2022-07-28,61.92114,63.33458,61.92114,62.56221,2372179
2022-07-29,62.90978,62.90978,61.81301,62.11424,1422768
2022-08-01,62.17602,62.63944,61.78984,62.17602,919957
2022-08-02,61.89797,62.48498,61.78984,61.89797,1497420
2022-08-03,62.46953,63.45045,61.98294,62.94840,3945301
2022-08-04,63.18012,63.83664,63.02564,63.48135,2751781
2022-08-05,63.48134,64.28461,62.79393,63.86753,3333864
2022-08-08,63.86753,63.86753,63.86753,63.86753,0
2022-08-09,63.86753,63.86753,63.86753,63.86753,0
2022-08-10,65.12648,66.99562,64.99518,65.45087,7617652
2022-08-11,65.65171,65.99156,65.07243,65.28870,1933226
2022-08-12,65.64399,67.87615,65.38138,67.55175,6862248
2022-08-15,68.04607,68.74120,66.88751,67.52085,6997128
2022-08-16,67.73712,68.20054,66.81027,67.08833,3751148
2022-08-17,66.88750,67.06515,66.42408,66.52448,2225078
2022-08-18,66.53994,66.96474,65.49723,65.81390,3048758
2022-08-19,65.65944,66.26962,65.16512,65.47407,856995
2022-08-22,65.14966,65.65170,63.83663,64.14558,3603096
2022-08-23,64.80208,65.65169,64.64761,65.42770,2698387
2022-08-24,65.26551,65.88342,64.87933,65.08015,646553
2022-08-25,64.80209,65.25007,64.57038,64.92567,1209208
2022-08-26,64.87933,65.18828,63.79800,63.92931,1771063
2022-08-29,63.99110,66.42408,62.64717,63.19556,1874621
2022-08-30,64.72486,64.76348,62.66262,62.80165,1756142
2022-08-31,62.56220,64.18418,62.56220,63.48905,1044019
2022-09-01,64.10696,64.10696,63.14149,63.18783,1153468
2022-09-02,63.52768,63.52768,62.56222,62.73986,615400
2022-09-05,62.74758,62.83254,61.79756,61.85935,1439261
2022-09-06,61.88252,62.25326,61.73577,62.03699,999785
2022-09-07,62.40775,62.40775,61.40366,61.66626,712302
2022-09-08,61.71259,62.17602,61.63536,61.92113,1449141
2022-09-09,62.21464,62.21464,61.40364,61.51178,1147183
2022-09-12,61.63538,61.85936,61.00203,61.04837,572401
2022-09-13,61.40365,61.40365,60.64673,60.72397,654071
2022-09-14,60.59267,61.78985,60.36096,61.29553,1118996
2022-09-15,61.78984,61.78984,60.28372,60.39957,1750164
2022-09-16,60.86300,60.86300,59.27963,60.55405,2499800
2022-09-19,60.63128,60.86299,60.15241,60.22965,736086
2022-09-20,60.24509,60.47680,58.32188,58.59993,1581672
2022-09-21,58.63083,59.08653,54.93117,55.99704,3471806
2022-09-22,55.18606,57.44911,54.87711,56.97024,2980991
2022-09-23,57.92797,58.35278,56.38323,56.63811,4149061
2022-09-26,56.76942,57.54180,56.76942,56.90845,1295266
2022-09-27,57.46455,61.01747,57.07837,59.14833,2822998
2022-09-28,59.23328,60.09062,58.54587,59.02474,2048636
2022-09-29,58.70035,59.08654,57.93570,58.54588,1107643
2022-09-30,58.53816,59.07110,57.95888,58.48410,1463910
